Biodegradability test result,Log H,Log Kow,% to air,% to water,% to sludge,sum
3,-1,6,0,11,79, 90 
3,0,0,1,32,0, 33 
3,0,1,1,32,0, 33 
3,0,2,1,32,1, 34 
3,0,3,1,31,3, 35 
3,0,4,1,27,17, 45 
3,0,5,0,17,51, 68 
3,0,6,0,11,79, 90 
3,1,0,6,29,0, 35 
3,1,1,6,29,0, 35 
3,1,2,6,29,1, 36 
3,1,3,6,29,3, 38 
3,1,4,5,25,17, 47 
3,1,5,3,16,51, 70 
3,1,6,1,10,78, 89 
3,2,0,36,19,0, 55 
3,2,1,36,19,0, 55 
3,2,2,36,19,1, 56 
3,2,3,35,18,3, 56 
3,2,4,30,16,16, 62 
3,2,5,17,12,49, 78 
3,2,6,7,9,76, 92 
3,3,0,76,7,0, 83 
3,3,1,76,7,0, 83 
3,3,2,75,7,0, 82 
3,3,3,73,7,3, 83 
3,3,4,64,6,16, 86 
3,3,5,40,5,46, 91 
3,3,6,20,5,70, 95 
3,4,0,84,5,0, 89 
3,4,1,84,5,0, 89 
3,4,2,83,5,0, 88 
3,4,3,81,5,3, 89 
3,4,4,71,4,15, 90 
3,4,5,45,3,45, 93 
3,4,6,24,4,68, 96 
3,5,0,85,4,0, 89 
3,5,1,85,4,0, 89 
3,5,2,84,4,0, 88 
3,5,3,82,4,3, 89 
3,5,4,71,4,15, 90 
3,5,5,46,3,45, 94 
3,5,6,25,4,68, 97 
2,-4,0,0,13,0, 13 
2,-4,1,0,13,0, 13 
2,-4,2,0,13,0, 13 
2,-4,3,0,12,3, 15 
2,-4,4,0,11,16, 27 
2,-4,5,0,8,47, 55 
2,-4,6,0,7,72, 79 
2,-3,0,0,13,0, 13 
2,-3,1,0,13,0, 13 
2,-3,2,0,13,0, 13 
2,-3,3,0,12,3, 15 
2,-3,4,0,11,16, 27 
2,-3,5,0,8,47, 55 
2,-3,6,0,7,72, 79 
2,-2,0,0,13,0, 13 
2,-2,1,0,13,0, 13 
2,-2,2,0,13,0, 13 
2,-2,3,0,12,3, 15 
2,-2,4,0,11,16, 27 
2,-2,5,0,8,47, 55 
2,-2,6,0,7,72, 79 
2,-1,0,0,13,0, 13 
2,-1,1,0,13,0, 13 
2,-1,2,0,13,0, 13 
2,-1,3,0,12,3, 15 
2,-1,4,0,11,16, 27 
2,-1,5,0,8,47, 55 
2,-1,6,0,7,72, 79 
2,0,0,0,13,0, 13 
2,0,1,0,13,0, 13 
2,0,2,0,12,0, 12 
2,0,3,0,12,3, 15 
2,0,4,0,11,16, 27 
2,0,5,0,8,47, 55 
2,0,6,0,7,72, 79 
2,1,0,3,12,0, 15 
2,1,1,3,12,0, 15 
2,1,2,3,12,0, 15 
2,1,3,3,11,3, 17 
2,1,4,3,10,16, 29 
2,1,5,1,7,47, 55 
2,1,6,1,7,72, 80 
2,2,0,19,9,0, 28 
2,2,1,19,9,0, 28 
2,2,2,19,9,0, 28 
2,2,3,18,9,3, 30 
2,2,4,16,8,16, 40 
2,2,5,9,6,46, 61 
2,2,6,4,6,71, 81 
2,3,0,55,5,0, 60 
2,3,1,55,5,0, 60 
2,3,2,54,5,0, 59 
2,3,3,53,5,3, 61 
2,3,4,46,4,15, 65 
2,3,5,29,4,45, 78 
2,3,6,15,4,69, 88 
2,4,0,66,4,0, 70 
2,4,1,66,4,0, 70 
2,4,2,66,4,0, 70 
2,4,3,64,4,3, 71 
2,4,4,56,3,15, 74 
2,4,5,36,3,45, 84 
2,4,6,20,3,67, 90 
2,5,0,68,3,0, 71 
2,5,1,68,3,0, 71 
2,5,2,67,3,0, 70 
2,5,3,66,3,3, 72 
2,5,4,57,3,15, 75 
2,5,5,37,3,45, 85 
2,5,6,20,3,67, 90 
