T/D,PM2.5(§¶/§©)
2023-01-19 11:25,7.375
2023-01-19 11:25,6.475
2023-01-19 11:25,5.692
2023-01-19 11:25,4.913
2023-01-19 11:26,4.362
2023-01-19 11:26,4.14
2023-01-19 11:26,4.027
2023-01-19 11:26,4.076
2023-01-19 11:26,3.954
2023-01-19 11:26,4.174
2023-01-19 11:27,4.252
2023-01-19 11:27,3.862
2023-01-19 11:27,4.061
2023-01-19 11:27,4.111
2023-01-19 11:27,4.146
2023-01-19 11:27,3.819
2023-01-19 11:28,2.786
2023-01-19 11:28,1.686
2023-01-19 11:28,1.027
2023-01-19 11:28,0.687
2023-01-19 11:28,0.202
2023-01-19 11:29,0.121
2023-01-19 11:29,0.09
2023-01-19 11:29,0.025
2023-01-19 11:29,0.011
2023-01-19 11:29,0.004
2023-01-19 11:30,0.001
2023-01-19 11:30,0
2023-01-19 11:30,0
2023-01-19 11:30,0
2023-01-19 11:30,0
2023-01-19 11:30,0
2023-01-19 11:31,0.257
2023-01-19 11:31,0.034
2023-01-19 11:31,0
2023-01-19 11:31,1.053
2023-01-19 11:31,32.501
2023-01-19 11:32,110.673
2023-01-19 11:32,254.304
2023-01-19 11:32,382.337
2023-01-19 11:32,449.506
2023-01-19 11:32,509.466
2023-01-19 11:32,560.945
2023-01-19 11:33,566.402
2023-01-19 11:33,567.294
2023-01-19 11:33,530.184
2023-01-19 11:33,500.231
2023-01-19 11:34,413.581
2023-01-19 11:34,373.098
2023-01-19 11:34,346.313
2023-01-19 11:34,309.795
2023-01-19 11:34,278.289
2023-01-19 11:34,256.381
2023-01-19 11:35,225.721
2023-01-19 11:35,197.965
2023-01-19 11:35,173.235
2023-01-19 11:35,156.105
2023-01-19 11:35,142.722
2023-01-19 11:36,104.774
2023-01-19 11:36,94.682
2023-01-19 11:36,86.079
2023-01-19 11:36,78.514
2023-01-19 11:36,71.096
2023-01-19 11:37,64.68
2023-01-19 11:37,49.545
2023-01-19 11:37,45.944
2023-01-19 11:37,38.391
2023-01-19 11:38,34.636
2023-01-19 11:38,30.621
2023-01-19 11:38,26.503
2023-01-19 11:38,24.056
2023-01-19 11:38,21.897
2023-01-19 11:38,19.002
2023-01-19 11:39,17.193
2023-01-19 11:39,15.735
2023-01-19 11:39,14.511
2023-01-19 11:39,13.256
2023-01-19 11:39,12.704
2023-01-19 11:39,11.505
2023-01-19 11:40,10.183
2023-01-19 11:40,9.319
2023-01-19 11:40,8.541
2023-01-19 11:40,7.859
2023-01-19 11:40,7.217
2023-01-19 11:40,6.357
2023-01-19 11:41,5.908
2023-01-19 11:41,6.086
2023-01-19 11:41,5.821
2023-01-19 11:41,5.001
2023-01-19 11:41,4.818
