T/D,PM2.5(§¶/§©)
2023-01-19 10:58,1.225
2023-01-19 10:58,1.218
2023-01-19 10:59,1.157
2023-01-19 10:59,1.126
2023-01-19 10:59,1.146
2023-01-19 10:59,1.021
2023-01-19 10:59,0.867
2023-01-19 10:59,0.789
2023-01-19 11:00,0.913
2023-01-19 11:00,0.966
2023-01-19 11:00,1.01
2023-01-19 11:00,1.069
2023-01-19 11:00,1.31
2023-01-19 11:00,1.441
2023-01-19 11:01,1.281
2023-01-19 11:01,1.24
2023-01-19 11:01,1.089
2023-01-19 11:01,1.017
2023-01-19 11:01,1.133
2023-01-19 11:01,1.068
2023-01-19 11:02,1.221
2023-01-19 11:02,1.285
2023-01-19 11:02,1.188
2023-01-19 11:02,1.297
2023-01-19 11:02,1.656
2023-01-19 11:02,1.622
2023-01-19 11:03,1.377
2023-01-19 11:03,1.201
2023-01-19 11:03,1.077
2023-01-19 11:03,1.119
2023-01-19 11:03,1.221
2023-01-19 11:03,1.112
2023-01-19 11:04,0.806
2023-01-19 11:04,0.541
2023-01-19 11:04,0.314
2023-01-19 11:04,0.192
2023-01-19 11:04,0.184
2023-01-19 11:04,0.239
2023-01-19 11:05,0.17
2023-01-19 11:05,0.104
2023-01-19 11:05,0.076
2023-01-19 11:05,0.046
2023-01-19 11:05,0.035
2023-01-19 11:05,0.043
2023-01-19 11:06,0.027
2023-01-19 11:06,0.013
2023-01-19 11:06,0.006
2023-01-19 11:06,0.002
2023-01-19 11:06,0
2023-01-19 11:06,0
2023-01-19 11:07,0
2023-01-19 11:07,0
2023-01-19 11:07,0
2023-01-19 11:07,0
2023-01-19 11:07,0
2023-01-19 11:07,0
2023-01-19 11:08,0
2023-01-19 11:08,0
2023-01-19 11:08,0
2023-01-19 11:08,0.549
2023-01-19 11:08,0.459
2023-01-19 11:08,0.235
2023-01-19 11:09,0.108
2023-01-19 11:09,0.047
2023-01-19 11:09,0.019
2023-01-19 11:09,0.029
2023-01-19 11:09,0.164
2023-01-19 11:09,0.102
2023-01-19 11:10,0.05
2023-01-19 11:10,0.023
2023-01-19 11:10,0.009
2023-01-19 11:10,0.003
2023-01-19 11:10,0.001
2023-01-19 11:10,0.064
2023-01-19 11:11,0.149
2023-01-19 11:11,0.08
2023-01-19 11:11,0.147
2023-01-19 11:11,0.093
2023-01-19 11:11,0.071
2023-01-19 11:11,0.042
2023-01-19 11:12,0.039
2023-01-19 11:12,0.109
2023-01-19 11:12,0.135
2023-01-19 11:12,0.079
2023-01-19 11:12,0.062
2023-01-19 11:12,0.036
2023-01-19 11:13,0.054
2023-01-19 11:13,0.074
2023-01-19 11:13,0.065
2023-01-19 11:13,0.253
2023-01-19 11:13,0.253
2023-01-19 11:13,0.281
2023-01-19 11:14,0.399
2023-01-19 11:14,0.382
2023-01-19 11:14,0.386
2023-01-19 11:14,0.567
2023-01-19 11:14,0.458
2023-01-19 11:14,0.738
2023-01-19 11:15,8.9
2023-01-19 11:15,5.861
2023-01-19 11:15,7.079
2023-01-19 11:15,7.633
2023-01-19 11:15,7.631
2023-01-19 11:15,7.69
2023-01-19 11:16,8.179
2023-01-19 11:16,9.764
2023-01-19 11:16,9.87
2023-01-19 11:16,8.896
2023-01-19 11:16,6.747
2023-01-19 11:16,3.977
2023-01-19 11:17,2.025
2023-01-19 11:17,0.942
2023-01-19 11:17,26.055
2023-01-19 11:17,169.747
2023-01-19 11:17,315.701
2023-01-19 11:17,372.127
2023-01-19 11:18,419.324
2023-01-19 11:18,450.664
2023-01-19 11:18,486.168
2023-01-19 11:18,489.282
2023-01-19 11:18,481.259
2023-01-19 11:18,462.289
2023-01-19 11:19,429.846
2023-01-19 11:19,395.631
2023-01-19 11:19,363.682
2023-01-19 11:19,328.426
2023-01-19 11:19,296.029
2023-01-19 11:19,270.266
2023-01-19 11:20,254.281
2023-01-19 11:20,227.365
2023-01-19 11:20,204.769
2023-01-19 11:20,191.523
2023-01-19 11:20,167.544
2023-01-19 11:20,151.707
2023-01-19 11:21,136.795
2023-01-19 11:21,123.541
2023-01-19 11:21,115.02
2023-01-19 11:21,105.011
2023-01-19 11:21,88.618
2023-01-19 11:21,74.709
2023-01-19 11:22,65.653
2023-01-19 11:22,58.427
2023-01-19 11:22,53.163
2023-01-19 11:22,48.828
2023-01-19 11:22,43.756
2023-01-19 11:22,38.623
2023-01-19 11:23,34.909
2023-01-19 11:23,32.078
2023-01-19 11:23,28.993
2023-01-19 11:23,25.635
2023-01-19 11:23,23.691
2023-01-19 11:23,21.122
2023-01-19 11:24,18.767
2023-01-19 11:24,16.88
2023-01-19 11:24,15.285
2023-01-19 11:24,12.882
2023-01-19 11:24,11.054
2023-01-19 11:24,9.638
2023-01-19 11:25,8.809
2023-01-19 11:25,8.174
