T/D,PM2.5(§¶/§©)
2023-01-19 11:35,191.077
2023-01-19 11:35,180.893
2023-01-19 11:35,161.75
2023-01-19 11:36,143.44
2023-01-19 11:36,126.61
2023-01-19 11:36,112.96
2023-01-19 11:36,98.996
2023-01-19 11:36,88.081
2023-01-19 11:36,78.542
2023-01-19 11:37,71.598
2023-01-19 11:37,64.745
2023-01-19 11:37,59.227
2023-01-19 11:37,55.387
2023-01-19 11:37,51.183
2023-01-19 11:37,45.95
2023-01-19 11:38,40.396
2023-01-19 11:38,34.086
2023-01-19 11:38,30.258
2023-01-19 11:38,27.245
2023-01-19 11:38,24.779
2023-01-19 11:38,22.43
2023-01-19 11:39,20.224
2023-01-19 11:39,17.779
2023-01-19 11:39,15.925
2023-01-19 11:39,13.826
2023-01-19 11:39,13.259
2023-01-19 11:39,12.801
2023-01-19 11:40,11.738
2023-01-19 11:40,9.792
2023-01-19 11:40,8.976
2023-01-19 11:40,8.05
2023-01-19 11:40,6.541
2023-01-19 11:40,5.528
2023-01-19 11:41,5.217
2023-01-19 11:41,5.122
2023-01-19 11:41,4.786
2023-01-19 11:41,4.51
2023-01-19 11:41,4.26
