T/D,PM2.5(§¶/§©)
2023-01-19 11:32,322.708
2023-01-19 11:32,386.075
2023-01-19 11:32,458.996
2023-01-19 11:32,508.867
2023-01-19 11:33,537.397
2023-01-19 11:33,550.106
2023-01-19 11:33,527.441
2023-01-19 11:33,510.185
2023-01-19 11:33,471.047
2023-01-19 11:33,428.001
2023-01-19 11:34,399.945
2023-01-19 11:34,376.568
2023-01-19 11:34,347.333
2023-01-19 11:34,324.81
2023-01-19 11:34,280.446
2023-01-19 11:34,256.385
2023-01-19 11:35,241.53
2023-01-19 11:35,224.599
2023-01-19 11:35,207.208
2023-01-19 11:35,177.774
2023-01-19 11:35,151.954
2023-01-19 11:35,142.262
2023-01-19 11:36,130.753
2023-01-19 11:36,115.683
2023-01-19 11:36,105.65
2023-01-19 11:36,94.118
2023-01-19 11:36,83.381
2023-01-19 11:36,74.511
2023-01-19 11:37,67.273
2023-01-19 11:37,62.111
2023-01-19 11:37,57.19
2023-01-19 11:37,52.138
2023-01-19 11:37,45.763
2023-01-19 11:37,40.584
2023-01-19 11:38,35.313
2023-01-19 11:38,30.743
2023-01-19 11:38,26.875
2023-01-19 11:38,24.372
2023-01-19 11:38,22.938
2023-01-19 11:38,21.89
2023-01-19 11:39,19.565
2023-01-19 11:39,17.641
2023-01-19 11:39,15.772
2023-01-19 11:39,14.158
2023-01-19 11:39,12.456
2023-01-19 11:39,11.398
2023-01-19 11:40,10.61
2023-01-19 11:40,9.199
2023-01-19 11:40,7.451
2023-01-19 11:40,7.052
2023-01-19 11:40,6.665
2023-01-19 11:40,5.898
2023-01-19 11:41,5.093
2023-01-19 11:41,5.102
2023-01-19 11:41,5.188
2023-01-19 11:41,4.773
2023-01-19 11:41,4.662
2023-01-19 11:41,4.394
2023-01-19 11:42,4.167
2023-01-19 11:42,4.08
2023-01-19 11:42,4.203
2023-01-19 11:42,4.382
2023-01-19 11:42,4.383
2023-01-19 11:42,4.019
2023-01-19 11:43,3.894
2023-01-19 11:43,3.617
2023-01-19 11:43,3.743
2023-01-19 11:43,4.353
2023-01-19 11:43,4.456
2023-01-19 11:43,5.033
2023-01-19 11:44,5.146
2023-01-19 11:44,4.776
2023-01-19 11:44,4.447
2023-01-19 11:44,4.36
2023-01-19 11:44,4.704
2023-01-19 11:44,4.412
2023-01-19 11:45,4.319
2023-01-19 11:45,4.389
2023-01-19 11:45,4.353
